Y_true,Y_pred
8,8.274761
14,10.764055
7,10.717618
15,8.635523
16,11.228484
6,9.6117325
12,11.419625
8,9.6117325
2,11.219276
5,10.966518
21,12.268531
6,11.760614
4,13.550018
4,10.996327
19,11.802845
17,10.9628725
3,10.954538
9,11.813946
6,9.491401
2,10.160597
11,10.305041
10,10.965368
19,11.010882
3,9.308631
8,10.519013
15,11.424531
14,11.651156
10,9.516364
5,9.259125
10,11.414183
16,10.687966
14,10.958848
5,9.491401
10,12.924614
6,10.9628725
19,11.681933
12,9.638598
4,10.716271
3,11.694144
9,10.089826
11,10.946825
12,9.308631
18,14.747134
11,11.749681
9,10.170624
25,8.840021
4,8.579641
9,9.181005
9,11.793122
10,8.297353
4,9.990008
7,11.4126215
6,11.287887
3,11.793122
7,8.260107
22,11.760614
14,11.161483
12,9.838294
2,11.793122
7,10.218714
12,9.058905
9,10.5584345
8,11.414183
7,10.138329
6,10.520361
5,8.974203
4,9.5471115
8,7.0476866
4,9.491956
4,8.554093
18,12.941584
15,11.654964
5,11.0222645
14,11.802845
11,13.380194
16,11.551002
1,10.927689
8,11.79693
15,11.55719
7,8.88382
9,9.4002905
15,12.461831
10,10.994435
6,10.766029
4,11.222983
9,9.452303
8,8.618605
14,8.383195
13,12.341625
7,10.169725
8,10.755764
5,11.496038
1,9.89371
14,11.749681
6,11.076964
11,10.910509
24,11.450808
14,9.179571
9,11.123773
0,8.556427
16,10.475251
3,10.465445
9,11.749681
9,10.014395
5,10.281062
5,11.61895
22,11.654964
16,15.35635
10,8.511891
18,10.910509
19,14.894424
4,10.910509
8,11.06412
8,11.321394
1,11.749681
5,9.491401
29,11.870779
1,11.410189
7,11.083575
58,10.766647
9,14.758067
6,10.710693
15,11.793122
12,10.203333
2,10.102753
4,9.9635
12,11.072642
5,10.280474
6,10.910509
4,13.6929455
18,14.409064
10,10.5584345
18,10.9628725
7,11.161483
20,11.461139
17,11.455692
13,10.381095
6,10.813896
3,10.031302
12,9.36347
16,10.748036
8,11.651156
4,11.697952
3,9.42152
16,10.764055
5,9.494407
15,12.996786
7,13.8653755
22,12.2781515
12,12.268531
1,11.450999
10,10.7558155
10,11.740147
4,12.392683
13,10.958848
10,9.866791
6,11.086812
13,12.26228
13,11.125167
7,10.766647
12,10.779778
5,10.203333
14,15.139603
2,10.370409
5,8.813774
15,13.11379
16,10.9628725
11,10.764055
8,12.216388
10,11.424531
2,10.841396
13,9.305259
9,6.57134
21,10.748036
10,10.280474
4,13.318434
8,11.324941
6,9.425088
12,10.093062
9,10.344779
8,9.516364
13,12.38175
6,11.207016
12,11.793122
0,6.3995657
8,9.568747
8,10.779778
19,11.760614
6,11.568123
18,14.449188
4,10.047045
23,11.074758
1,10.651319
21,11.072642
12,11.019517
2,9.699059
8,11.228484
12,10.140824
8,9.338719
4,9.622129
34,10.66265
11,10.305041
5,10.355725
4,11.072262
16,11.698854
22,14.942015
6,12.006224
14,11.73815
10,14.942015
12,10.089826
27,12.584328
6,9.974433
11,9.189763
6,9.2347355
5,9.075755
4,10.96156
2,11.215899
10,13.374926
8,11.015204
9,9.800214
14,11.760614
12,11.698854
7,10.892561
11,11.793122
12,11.760614
9,12.372913
5,11.349722
13,11.61895
11,11.793122
36,11.019996
10,11.694144
11,14.446001
18,12.399728
18,11.558286
20,11.6710005
2,11.749681
0,10.310468
12,12.936823
8,10.765767
12,11.694144
1,11.793122
10,11.694144
8,10.138329
10,10.892561
15,10.05026
4,9.264669
16,10.748036
12,8.52194
14,10.615612
11,10.764055
0,9.264904
10,11.228484
1,7.193582
10,7.959623
15,11.749681
8,11.681933
10,11.946909
17,11.694144
4,9.193099
4,9.568747
7,10.714918
2,10.233191
13,11.125167
6,11.396528
10,11.651156
8,8.26561
11,11.086812
18,14.956184
8,8.897613
5,10.748036
10,9.511791
1,10.265703
6,11.461139
12,8.711178
14,8.850377
8,11.6710005
9,11.760614
15,9.851946
4,11.439025
14,10.745228
4,11.959615
14,10.2263365
4,11.387815
29,11.326552
19,12.39592
52,15.207261
7,9.636814
4,11.025052
7,10.712833
10,6.029237
30,11.229796
15,11.588341
9,9.861602
19,11.464947
4,10.549341
14,11.826362
4,9.972564
30,11.506235
5,9.4848795
4,9.324034
13,11.423554
2,11.428339
12,13.522755
6,10.910509
26,11.733143
26,12.52562
19,13.22791
3,12.392683
8,9.303865
10,9.761484
7,11.79693
4,9.37764
3,8.685025
17,11.424531
3,9.1515255
11,11.874826
18,14.645886
7,11.593638
1,10.073466
13,11.793122
16,15.216882
7,11.681933
14,10.219227
11,11.232292
9,11.373954
5,11.295273
8,11.019517
10,11.681933
15,12.208588
9,9.386591
5,10.329621
8,9.383419
8,12.462931
5,11.749681
17,11.731362
14,12.384845
9,9.491956
6,10.515155
11,11.424531
8,10.569367
24,11.73517
3,9.43732
16,14.952948
10,9.941249
20,10.476027
4,10.05026
2,9.772719
5,11.086812
5,10.859722
18,9.231529
7,7.7446456
12,10.966518
4,11.332031
21,11.793122
16,10.116775
10,11.793122
8,10.138329
5,14.870644
13,9.677928
15,11.086812
37,11.793122
6,9.4287
13,10.910509
17,10.766647
13,11.651156
13,9.629376
10,11.651156
